巴	ba
岜	wba
靶	xba
芭	yba
钯	Nba
鈀	Nba
跁	Dba
疤	tba
蚆	kba
粑	hba
鲃	Bba
吧	oba
𣲩	Eba
𫕠	6ba
笆	2ba
把	8ba
爸	Vba
八	baH
朳	bac
叭	bao
汃	baE
扒	ba8
玐	ba3
趴	baD
孛	bo
勃	lbo
哱	obo
脖	ebo
浡	Ebo
渤	Elbo
悖	Ybo
饽	Lbo
餑	Lbo
侼	Vbo
荸	ybo
鹁	nbo
鵓	nbo
馞	hbo
桲	cbo
苩	boy
舶	boq
铂	boN
鉑	boN
柏	boc
泊	boE
箔	bo2
碧	bo3
伯	boV
粕	boh
备	be
俻	be
偹	be
備	be
韛	pbe
鞴	xbe
惫	Fbe
憊	Fbe
糒	hbe
贬	bex
貶	bex
砭	bes
疺	bet
窆	bef
比	bE
舭	qbE
芘	ybE
毙	tbE
庇	5bE
秕	hbE
吡	obE
妣	AbE
沘	EbE
毕	bEH
畢	bEH
荜	bEy
蓽	bEy
跸	bED
蹕	bED
筚	bE2
篳	bE2
哔	bEo
嗶	bEo
不	bA
芣	ybA
鴀	nbA
钚	NbA
鈈	NbA
罘	4bA
杯	cbA
盃	4bAH
吥	obA
抔	8bA
晡	bAb
峬	bAw
埔	bAd
𬷕	bAn
鵏	bAn
秿	bAh
庯	bA5
蒱	bAy
補	bAu
哺	bAo
悑	bAY
捕	bA8
逋	bAz
白	bY
伯	VbY
柏	cbY
㿟	2bY
䳆	nbY
拜	bYH
拝	bYH
湃	bYE
㗑	bYo
包	bL
飑	bbL
颮	bbL
龅	jbL
齙	jbL
苞	ybL
刨	lbL
胞	ebL
佨	VbLH
鲍	BbL
鮑	BbL
枹	cbL
饱	LbL
飽	LbL
雹	6bL
抱	8bL
孢	VbL
勹	HbL
保	bLH
煲	bLx
葆	bLy
鸨	bLn
鴇	bLn
堡	bLd
堢	bLdH
褒	bLu
褓	bLuH
裒	HbLu
媬	bLA
必	b6
毖	tb6
苾	yb6
铋	Nb6
鉍	Nb6
咇	ob6
泌	Eb6
怭	Yb6
佖	Vb6
邲	1b6
瑟	3b6
璱	33b6
珌	3b6H
祕	ub6
馝	hb6
崥	b6w
髀	b6j
庳	b65
裨	b6u
婢	b6A
俾	b6V
陴	b61
捭	b68
鼙	b67
萆	b6y
蜱	b6k
般	b2
瘢	tb2
螌	kb2
褩	ub2
搬	8b2
搫	8b2H
昄	b2b
岅	b2w
版	b2p
舨	b2q
钣	b2N
鈑	b2N
坂	b2d
粄	b2h
瓪	b27
板	b2c
汳	b2E
扳	b28
阪	b21
邦	bT
幚	pbT
帮	pbT
幇	pbT
幫	pbT
垹	dbT
梆	cbT
绑	abT
綁	abT
𠳐	obT
挷	8bT
嵭	bTw
髈	bTj
艕	bTq
蒡	bTy
磅	bTs
镑	bTN
鎊	bTN
塝	bTd
牓	bTp
榜	bTc
嗙	bTo
膀	bTe
搒	bT8
傍	bTV
谤	bTi
謗	bTi
本	b8
夲	Hb8
苯	yb8
砵	sb8
钵	Nb8
鉢	Nb8
笨	2b8
体	Vb8
奔	b8H
犇	b8g
逩	b8z
锛	b8N
錛	b8N
喯	b8o
渀	b8E
捹	b88
倴	b8V
布	b3
钸	Nb3
柨	cb3
咘	ob3
怖	Yb3
抪	8b3
佈	Vb3
崩	b3w
蹦	b3D
泵	b3s
堋	b3d
塴	b3wd
镚	b3wN
鏰	b3wN
弸	b3l
痭	b3t
奟	b3f
绷	b3a
綳	b3a
嘣	b3o
傰	b3V
卑	bV
鞞	xbV
碑	sbV
椑	cbV
鹎	nbV
稗	hbV
箄	2bV
贝	bVH
貝	bVH
坝	bVd
垻	bVd
赑	bV3
贔	bV3
𬇙	bVE
浿	bVE
败	bVr
敗	bVr
钡	bVN
鋇	bVN
狈	bVv
狽	bVv
呗	bVo
唄	bVo
啚	b1
圖	mb1
鄙	1b1
秉	b1H
犮	bia
跋	Dbia
魃	tbia
鲅	Bbia
鮁	Bbia
拔	8bia
坺	dbia
胈	ebia
妭	Abia
韨	pbia
韍	pbia
发	jbia
髪	jbia
髮	jbia
茇	ybia
菝	8ybia
钹	Nbia
鈸	Nbia
霸	biaH
壩	biad
灞	biaE
菠	ybio
跛	Dbio
啵	obio
波	Ebio
簸	2bio
玻	3bio
彼	zbio
陂	1bio
𬭛	Nbio
𨨏	Nbio
博	biop
礡	bios
膊	bioe
薄	bioy
蒪	bioyH
礴	bios
镈	bioN
榑	bioc
欂	bioyc
愽	bioY
簙	bio'p2
簿	bio2
搏	bio8
边	bie
邊	bie
笾	2bie
籩	2bie
蹩	bieD
彆	biel
蟞	biek
虌	bieky
憋	bieF
鳖	bieB
鱉	bieB
襒	bieu
阜	biA
埠	dbiA
卜	biAH
补	biAu
卟	biAo
百	biY
粨	hbiY
栢	cbiY
絔	abiY
佰	VbiY
罢	biYH
罷	biYH
罴	biYx
羆	biYx
䎬	biY7
䎱	biY7
襬	biYu
摆	biY8
擺	biY8
表	biL
錶	NbiL
脿	ebiL
裱	ubiL
婊	AbiL
俵	VbiL
幖	biLp
熛	biLx
磦	biLs
