;汉字	;希顶	备注	汉希提示	希汉提示
一	NV			
乙	5E			
二	42			
十	Huo			
丁	di8			
厂	BT5			
七	Ni6H			
卜	biAH	bo	萝~	
卜	piA	bǔ		
八	baH			
人	r8H			
入	rAH			
儿	4ie			
匕	p6H			
几	jE			
九	ju6			
刁	diL			
了	liL			
刀	dL			
力	vE			
乃	nY			
又	4i6			
三	k2			
干	gi2	乾 gān		
干	hYc	幹、榦 gàn	~部 ~线 ~什么 骨~ ~预 ~活 树~ ~流 ~吗 ~事 主~ 躯~ ~警 才~ 精~ ~练 埋头苦~ ~掉 ~将 实~ 枝~ 单~ ~劲 能~	
干	7gi2	幹 gàn，旧拼写	-	-
于	yA			
亏	wiaH			
工	g3			
土	tA			
士	nu6H			
才	DY			
下	xa			
寸	Du8H			
大	da			
丈	FiT			
与	7a			
万	w2			
上	rT			
小	xL			
小	HxL	旧拼写	-	-
小	xLH	旧拼写	-	-
口	k6			
山	s2			
巾	Hj8			
巾	j8H	旧拼写	-	-
千	q2			
乞	hu6			
川	giV			
亿	V5E			
个	Vga			
夕	5ia			
久	j6			
么	m1			
勺	suL			
凡	f2H			
丸	w2H			
及	Na			
广	ciT			
亡	wiT			
门	m8			
丫	yay			
义	5Y			
之	zEH			
尸	Hue			
己	Nia			
已	giY			
巳	4uV			
弓	g3H			
子	HL			
卫	wEH			
也	DE			
女	nA			
刃	r8			
飞	nfiL			
习	5iaH			
叉	DaH			
马	ma			
乡	xuTH			
丰	h6H			
王	wT			
开	kY			
井	N8			
天	ti2			
夫	4ia			
元	yuo			
无	w6			
云	yu8			
专	zu2			
丐	giYH			
扎	za8			
艺	4E			
木	miA			
五	wiA			
支	Hua			
厅	ti85			
不	bA			
犬	quV			
太	tiY			
区	46H	ōu 姓氏	-	
区	Fi6	qū		
历	vi6			
歹	liYH			
友	bia			
尤	y6			
匹	pe			
车	Due			
巨	5V			
牙	ya			
屯	78			
戈	gV			
比	bE			
互	fo			
切	qe			
瓦	wa			
止	Hu6			
少	saH			
曰	BoH			
日	rE			
中	z3			
贝	bVH			
冈	gT			
内	rV			
水	7iVH			
见	jV			
午	wAH			
牛	nu6			
手	ruT			
气	N6			
毛	mL			
壬	ru8			
升	fiL			
夭	yuLH			
